Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-04-10,,Intérêts & KW - NL,0.00,1,0,
2024-04-11,,Intérêts & KW - NL,0.00,4,0,
2024-04-12,,Intérêts & KW - NL,0.00,3,0,
2024-04-15,,Intérêts & KW - NL,0.00,2,0,
2024-04-16,,Intérêts & KW - NL,0.00,15,0,
2024-04-19,,Intérêts & KW - NL,0.00,1,0,
2024-04-22,,Intérêts & KW - NL,0.00,3,0,
2024-04-24,,Intérêts & KW - NL,0.00,1,0,
2024-04-27,,Intérêts & KW - NL,0.00,1,0,
2024-04-30,,Intérêts & KW - NL,0.00,2,0,
2024-05-02,,Intérêts & KW - NL,0.00,3,1,
2024-05-06,,Intérêts & KW - NL,0.00,1,0,
2024-05-07,,Intérêts & KW - NL,0.00,1,0,
2024-05-08,,Intérêts & KW - NL,0.00,1,0,
2024-05-09,,Intérêts & KW - NL,0.00,4,0,
2024-05-10,,Intérêts & KW - NL,0.00,1,0,
2024-05-11,,Intérêts & KW - NL,0.00,3,0,
2024-05-17,,Intérêts & KW - NL,0.00,1,0,
2024-05-19,,Intérêts & KW - NL,0.00,2,0,
2024-05-21,,Intérêts & KW - NL,0.00,1,0,
2024-05-22,,Intérêts & KW - NL,0.00,1,0,
2024-05-24,,Intérêts & KW - NL,0.00,1,0,
2024-05-26,,Intérêts & KW - NL,0.00,1,0,
2024-05-29,,Intérêts & KW - NL,0.00,1,0,
2024-06-05,,Intérêts & KW - NL,0.00,2,0,
2024-06-07,,Intérêts & KW - NL,0.00,2,0,
2024-06-08,,Intérêts & KW - NL,0.00,2,0,
2024-06-09,,Intérêts & KW - NL,0.00,2,0,
2024-06-12,,Intérêts & KW - NL,0.00,2,0,
2024-06-13,,Intérêts & KW - NL,0.00,1,0,
2024-06-21,,Intérêts & KW - NL,0.00,1,0,
2024-06-22,,Intérêts & KW - NL,0.00,1,0,
2024-06-28,,Intérêts & KW - NL,0.00,1,0,
2024-06-30,,Intérêts & KW - NL,0.00,1,0,
2023-10-01,,Interest & KW - NL,0.00,1,0,
2023-10-02,,Interest & KW - NL,0.00,3,0,
2023-10-03,,Interest & KW - NL,0.00,2,0,
2023-10-04,,Interest & KW - NL,0.00,7,0,
2023-10-05,,Interest & KW - NL,0.00,3,0,
2023-10-06,,Interest & KW - NL,0.00,4,0,
2023-10-07,,Interest & KW - NL,0.00,9,0,
2023-10-08,,Interest & KW - NL,0.00,9,0,
2023-10-09,,Interest & KW - NL,0.00,25,0,
2023-10-10,,Interest & KW - NL,0.00,20,0,
2023-10-11,,Interest & KW - NL,0.00,15,0,
2023-10-12,,Interest & KW - NL,0.00,3,0,
2023-10-13,,Interest & KW - NL,0.00,1,0,
2023-10-14,,Interest & KW - NL,0.00,3,0,
2023-10-15,,Interest & KW - NL,0.00,1,0,
2023-10-16,,Interest & KW - NL,0.00,3,0,
2023-10-17,,Interest & KW - NL,0.00,2,0,
2023-10-18,,Interest & KW - NL,0.00,1,0,
2023-10-19,,Interest & KW - NL,0.00,2,0,
2023-10-20,,Interest & KW - NL,0.00,1,0,
2023-10-21,,Interest & KW - NL,0.00,2,0,
2023-10-22,,Interest & KW - NL,0.00,2,0,
2023-10-23,,Interest & KW - NL,0.00,1,0,
2023-10-24,,Interest & KW - NL,0.00,2,0,
2023-10-25,,Interest & KW - NL,0.00,1,0,
2023-10-26,,Interest & KW - NL,0.00,1,0,
2023-10-27,,Interest & KW - NL,0.00,1,0,
2023-10-28,,Interest & KW - NL,0.00,3,0,
2023-10-29,,Interest & KW - NL,0.00,6,0,
2023-10-30,,Interest & KW - NL,0.00,2,0,
2023-10-31,,Interest & KW - NL,0.00,3,0,
2023-11-01,,Interest & KW - NL,0.00,3,0,
2023-11-02,,Interest & KW - NL,0.00,6,0,
2023-11-03,,Interest & KW - NL,0.00,13,0,
2023-11-04,,Interest & KW - NL,0.00,7,0,
2023-11-05,,Interest & KW - NL,0.00,11,0,
2023-11-06,,Interest & KW - NL,0.00,9,0,
2023-11-07,,Interest & KW - NL,0.00,5,0,
2023-11-08,,Interest & KW - NL,0.00,14,0,
2023-11-09,,Interest & KW - NL,0.00,1,0,
2023-11-10,,Interest & KW - NL,0.00,2,0,
2023-11-11,,Interest & KW - NL,0.00,2,0,
2023-11-12,,Interest & KW - NL,0.00,3,0,
2023-11-13,,Interest & KW - NL,0.00,5,0,
2023-11-14,,Interest & KW - NL,0.00,6,0,
2023-11-15,,Interest & KW - NL,0.00,6,0,
2023-11-16,,Interest & KW - NL,0.00,1,0,
2023-11-17,,Interest & KW - NL,0.00,6,0,
2023-11-18,,Interest & KW - NL,0.00,15,1,
2023-11-19,,Interest & KW - NL,0.00,10,0,
2023-11-20,,Interest & KW - NL,0.00,8,0,
2023-11-21,,Interest & KW - NL,0.00,4,0,
2023-11-22,,Interest & KW - NL,0.00,4,0,
2023-11-23,,Interest & KW - NL,0.00,3,0,
2023-11-24,,Interest & KW - NL,0.00,4,0,
2023-11-25,,Interest & KW - NL,0.00,5,0,
2023-11-26,,Interest & KW - NL,0.00,3,0,
2023-11-27,,Interest & KW - NL,0.00,8,3,
2023-11-28,,Interest & KW - NL,0.00,7,0,
2023-11-29,,Interest & KW - NL,0.00,1,0,
2023-11-30,,Interest & KW - NL,0.00,12,0,
2023-12-01,,Interest & KW - NL,0.00,14,0,
2023-12-02,,Interest & KW - NL,0.00,1,0,
