Date,Campaign name,adset name (optional),Spends,Impressions,clicks,Check
2023-12-06,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,120.37,29730,28,
2023-12-06,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,34.46,5583,2,
2023-12-07,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,112.92,30693,9,
2023-12-07,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,113.08,27600,7,
2023-12-07,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,181.32,29711,7,
2023-12-08,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,88.19,29371,8,
2023-12-08,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,112.93,39571,9,
2023-12-08,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,205.79,33061,12,
2023-12-09,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,88.28,32215,16,
2023-12-09,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,112.98,38582,21,
2023-12-09,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,206.09,33925,18,
2023-12-10,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,88.28,29285,20,
2023-12-10,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,112.84,39390,23,
2023-12-10,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,188.54,31538,17,
2023-12-11,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,87.38,22300,11,
2023-12-11,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,112.18,27112,5,
2023-12-11,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,205.95,31210,18,
2023-12-12,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,88.59,21955,7,
2023-12-12,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Hoop,113.21,28159,5,
2023-12-12,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__Rollers,208.76,32335,17,
2023-12-13,decathlon_BE_FR_EOY_awa_prog_dv360_cpv_trueview_videoviews_,decathlon_BE_FR_EOY_awa_prog_dv360__cpv_trueview_videoviews_Family/Sport_15s__General,88.78,23343,5,
