Date,Campaign name,Adset name (optional),Spends,Impressions,clicks,Check
2024-01-16,,Interest & KW - FR,0.00,18,3,
2024-01-17,,Interest & KW - FR,0.00,17,0,
2024-01-18,,Interest & KW - FR,0.00,9,0,
2024-01-19,,Interest & KW - FR,0.00,10,1,
2024-01-20,,Interest & KW - FR,0.00,12,0,
2024-01-21,,Interest & KW - FR,0.00,8,0,
2024-01-22,,Interest & KW - FR,0.00,14,0,
2024-01-23,,Interest & KW - FR,0.00,14,0,
2024-01-24,,Interest & KW - FR,0.00,12,0,
2024-01-25,,Interest & KW - FR,0.00,8,0,
2024-01-26,,Interest & KW - FR,0.00,14,0,
2024-01-27,,Interest & KW - FR,0.00,3,0,
2024-01-28,,Interest & KW - FR,0.00,9,0,
2024-01-29,,Interest & KW - FR,0.00,14,3,
2024-01-30,,Interest & KW - FR,0.00,16,0,
2024-01-31,,Interest & KW - FR,0.00,8,0,
2024-02-01,,Interest & KW - FR,0.00,14,0,
2024-02-02,,Interest & KW - FR,0.00,4,0,
2024-02-03,,Interest & KW - FR,0.00,3,0,
2024-02-04,,Interest & KW - FR,0.00,3,2,
2024-02-05,,Interest & KW - FR,0.00,10,0,
2024-02-06,,Interest & KW - FR,0.00,1,0,
2024-02-07,,Interest & KW - FR,0.00,5,0,
2024-02-08,,Interest & KW - FR,0.00,8,0,
2024-02-09,,Interest & KW - FR,0.00,1,0,
2024-02-10,,Interest & KW - FR,0.00,4,0,
2024-02-11,,Interest & KW - FR,0.00,3,0,
2024-02-12,,Interest & KW - FR,0.00,3,0,
2024-02-13,,Interest & KW - FR,0.00,8,0,
2024-02-14,,Interest & KW - FR,0.00,6,0,
2024-02-15,,Interest & KW - FR,0.00,5,0,
2024-02-16,,Interest & KW - FR,0.00,4,0,
2024-02-17,,Interest & KW - FR,0.00,6,0,
2024-02-18,,Interest & KW - FR,0.00,5,0,
2024-02-19,,Interest & KW - FR,0.00,5,0,
2024-02-20,,Interest & KW - FR,0.00,1,0,
2024-02-21,,Interest & KW - FR,0.00,3,0,
2024-02-22,,Interest & KW - FR,0.00,5,0,
2024-02-23,,Interest & KW - FR,0.00,30,1,
2024-02-24,,Interest & KW - FR,0.00,3,0,
2024-02-25,,Interest & KW - FR,0.00,14,0,
2024-02-26,,Interest & KW - FR,0.00,7,0,
2024-02-27,,Interest & KW - FR,0.00,7,0,
2024-02-28,,Interest & KW - FR,0.00,1,0,
2024-02-29,,Interest & KW - FR,0.00,2,0,
2024-03-01,,Interest & KW - FR,0.00,3,0,
2024-03-02,,Interest & KW - FR,0.00,1,0,
2024-03-03,,Interest & KW - FR,0.00,14,0,
2024-03-05,,Interest & KW - FR,0.00,5,0,
2024-03-06,,Interest & KW - FR,0.00,1,0,
2024-03-07,,Interest & KW - FR,0.00,2,0,
2024-03-08,,Interest & KW - FR,0.00,8,0,
2024-03-09,,Interest & KW - FR,0.00,9,0,
2024-03-10,,Interest & KW - FR,0.00,1,0,
2024-03-13,,Interest & KW - FR,0.00,2,0,
2024-03-14,,Interest & KW - FR,0.00,3,0,
2024-03-15,,Interest & KW - FR,0.00,3,0,
2024-03-16,,Interest & KW - FR,0.00,5,0,
2024-03-17,,Interest & KW - FR,0.00,1,0,
2024-03-20,,Interest & KW - FR,0.00,3,0,
2024-03-24,,Interest & KW - FR,0.00,6,2,
2024-03-26,,Interest & KW - FR,0.00,2,0,
2024-03-27,,Interest & KW - FR,0.00,1,0,
2024-03-28,,Interest & KW - FR,0.00,1,0,
2024-03-30,,Interest & KW - FR,0.00,1,0,
2024-03-31,,Interest & KW - FR,0.00,2,0,
2024-04-01,,Interest & KW - FR,0.00,3,0,
2024-04-02,,Interest & KW - FR,0.00,1,0,
2024-04-03,,Interest & KW - FR,0.00,6,0,
2024-04-06,,Interest & KW - FR,0.00,4,0,
2024-04-08,,Interest & KW - FR,0.00,3,0,
2024-04-09,,Interest & KW - FR,0.00,1,0,
2024-04-10,,Interest & KW - FR,0.00,1,0,
2024-04-12,,Interest & KW - FR,0.00,1,0,
2024-04-13,,Interest & KW - FR,0.00,1,0,
2024-04-14,,Interest & KW - FR,0.00,2,0,
2024-04-15,,Interest & KW - FR,0.00,5,0,
2024-04-16,,Interest & KW - FR,0.00,2,0,
2024-04-17,,Interest & KW - FR,0.00,3,0,
2024-04-18,,Interest & KW - FR,0.00,5,0,
2024-04-19,,Interest & KW - FR,0.00,1,0,
2024-04-20,,Interest & KW - FR,0.00,1,0,
2024-04-21,,Interest & KW - FR,0.00,4,0,
2024-04-22,,Interest & KW - FR,0.00,3,0,
2024-04-23,,Interest & KW - FR,0.00,1,0,
2024-04-24,,Interest & KW - FR,0.00,1,0,
2024-04-25,,Interest & KW - FR,0.00,3,0,
2024-04-26,,Interest & KW - FR,0.00,2,0,
2024-04-27,,Interest & KW - FR,0.00,1,0,
2024-04-28,,Interest & KW - FR,0.00,3,0,
2024-04-30,,Interest & KW - FR,0.00,3,0,
2024-05-01,,Interest & KW - FR,0.00,2,0,
2024-05-02,,Interest & KW - FR,0.00,5,0,
2024-05-03,,Interest & KW - FR,0.00,1,0,
2024-05-04,,Interest & KW - FR,0.00,2,0,
2024-05-05,,Interest & KW - FR,0.00,1,0,
2024-05-06,,Interest & KW - FR,0.00,2,0,
2024-05-07,,Interest & KW - FR,0.00,2,0,
2024-05-08,,Interest & KW - FR,0.00,1,0,
2024-05-11,,Interest & KW - FR,0.00,1,0,
2024-05-13,,Interest & KW - FR,0.00,1,0,
2024-05-14,,Interest & KW - FR,0.00,5,0,
2024-05-16,,Interest & KW - FR,0.00,1,0,
2024-05-19,,Interest & KW - FR,0.00,1,0,
2024-05-20,,Interest & KW - FR,0.00,1,0,
2024-05-21,,Interest & KW - FR,0.00,3,0,
2024-05-22,,Interest & KW - FR,0.00,1,0,
2024-05-23,,Interest & KW - FR,0.00,3,0,
2024-05-24,,Interest & KW - FR,0.00,3,0,
2024-05-26,,Interest & KW - FR,0.00,10,0,
2024-05-27,,Interest & KW - FR,0.00,2,0,
2024-05-28,,Interest & KW - FR,0.00,1,0,
2024-05-29,,Interest & KW - FR,0.00,1,0,
2024-06-02,,Interest & KW - FR,0.00,1,0,
2024-06-03,,Interest & KW - FR,0.00,2,0,
2024-06-04,,Interest & KW - FR,0.00,4,0,
2024-06-05,,Interest & KW - FR,0.00,2,0,
2024-06-06,,Interest & KW - FR,0.00,1,0,
2024-06-08,,Interest & KW - FR,0.00,3,0,
2024-06-09,,Interest & KW - FR,0.00,2,0,
2024-06-10,,Interest & KW - FR,0.00,14,0,
2024-06-11,,Interest & KW - FR,0.00,4,0,
2024-06-12,,Interest & KW - FR,0.00,1,0,
2024-06-14,,Interest & KW - FR,0.00,1,0,
2024-06-15,,Interest & KW - FR,0.00,1,0,
2024-06-19,,Interest & KW - FR,0.00,5,1,
2024-06-20,,Interest & KW - FR,0.00,3,0,
2024-06-21,,Interest & KW - FR,0.00,1,0,
2024-06-24,,Interest & KW - FR,0.00,1,0,
2024-06-25,,Interest & KW - FR,0.00,3,0,
2024-06-26,,Interest & KW - FR,0.00,3,0,
2024-06-27,,Interest & KW - FR,0.00,2,0,
2024-06-29,,Interest & KW - FR,0.00,2,0,
2024-06-30,,Interest & KW - FR,0.00,2,0,
2023-10-01,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-02,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-03,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-04,,Interest & KW - Woman - FR,0.00,3,0,
2023-10-05,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-06,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-07,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-08,,Interest & KW - Woman - FR,0.00,3,0,
2023-10-10,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-11,,Interest & KW - Woman - FR,0.00,2,0,
2023-10-12,,Interest & KW - Woman - FR,0.00,3,0,
2023-10-13,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-16,,Interest & KW - Woman - FR,0.00,4,0,
2023-10-17,,Interest & KW - Woman - FR,0.00,1,0,
2023-10-18,,Interest & KW - Woman - FR,0.00,1,0,
